D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
G***:2
J1:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
REF**:1
RS1:1
